"x","y","ground_altitude"
21.2246181666667,-24.0788127222222,1176.686
21.2245556944444,-24.0788410277778,1175.829
21.2244526944444,-24.0788864166667,1174.711
21.2245304166667,-24.0789359444444,1174.413
21.2246003888889,-24.0788990277778,1174.78
21.2246709722222,-24.0789514722222,1174.619
21.22459925,-24.0789983333333,1178.53
21.2244900555556,-24.0790422222222,1174.682
21.2245671111111,-24.0790834722222,1174.457
21.2246584722222,-24.0790241944444,1173.477
21.2247330277778,-24.0790683611111,1174.062
21.2246704722222,-24.0791211944444,1177.93
21.2245486666667,-24.0791824444444,1176.815
