"x","y","ground_altitude"
NA,NA,NA
21.2041770833333,-23.9622941111111,1171.693
21.2040604722222,-23.9622730277778,1171.801
21.2039196666667,-23.9622293333333,1172.135
21.2039406666667,-23.9620986666667,1172.146
21.2040011111111,-23.96219125,1171.827
21.2041083333333,-23.9622099722222,1171.724
21.2041746388889,-23.9621482777778,1171.773
21.2040658611111,-23.9621516111111,1171.748
21.2041219166667,-23.9620756111111,1171.601
21.2040183888889,-23.9620738055556,1171.834
21.2041785833333,-23.96195575,1171.535
21.2040683888889,-23.9619683333333,1171.62
21.2039566111111,-23.9619661944444,1171.858
