S1P01,522836.468,7337020.193,1160.869873,0.005
S1P02,522836.5251,7337015.21,1160.762695,0.005
S1P03,522836.5926,7337012.35,1160.792603,0.005
S1P04,522842.164,7337008.04,1161.248779,0.005
S1P05,522838.1946,7337001.743,1160.852295,0.005
S1P06,522826.4553,7336998.198,1160.063232,0.005
S1P07,522822.4244,7336994.088,1160.039673,0.005
S1P08,522813.5829,7336991.333,1159.526978,0.005
S1P09,522811.1042,7336995.543,1159.386841,0.005
S1P10,522809.5037,7337006.972,1159.274902,0.005
S1P11,522827.7323,7337014.247,1160.164673,0.005
S1P12,522840.5136,7337013.609,1161.123291,0.005
S1P13,522839.9187,7337012.52,1161.097168,0.005
S1P14,522839.2814,7337019.706,1161.076294,0.005
S1P15,522833.0923,7337019.861,1160.642334,0.005
S1P16,522821.9126,7337021.377,1159.980957,0.005
S1P17,522816.3856,7337023.804,1159.832031,0.005
S1P18,522814.4729,7337023.232,1159.673462,0.005
S1P19,522811.9471,7337020.04,1159.484375,0.005
S1P20,522808.9918,7337014.425,1159.330566,0.005
S1P21,522812.0928,7337009.923,1159.426636,0.005
S1P22,522826.3968,7337005.358,1160.050781,0.005
S1P23,522833.0577,7337001.747,1160.450317,0.005
S1P24,522838.9044,7336998.049,1160.869019,0.005
S1P25,522844.1557,7337001.93,1161.233276,0.005
S1P26,522847.6953,7337000.212,1161.526001,0.005
S1P27,522852.4066,7337003.722,1162.043335,0.005
S1P28,522848.3741,7337007.576,1161.673828,0.005
S1P29,522832.2274,7337019.655,1160.551392,0.005
S1P30,522827.8207,7337024.124,1160.358398,0.005
