"latitude","longitude","altitude","xy_accuracy","z_accuracy","datetime_stamp"
"CRS","WGS84 EPSG::32735",NA,NA,NA,NA
"-24.0596811111111","21.221037",1162.135,0.03,0.06,"2024:03:28 15:32:52"
"-24.0596622777778","21.2209346944444",1162.159,0.03,0.06,"2024:03:28 15:33:29"
"-24.0596509722222","21.2208388611111",1162.24,0.03,0.06,"2024:03:28 15:33:55"
"-24.0597339166667","21.2208630833333",1162.083,0.03,0.06,"2024:03:28 15:34:14"
"-24.0597555277778","21.2209635",1162.098,0.03,0.06,"2024:03:28 15:34:34"
"-24.0598245555556","21.2210501666667",1162.187,0.03,0.06,"2024:03:28 15:35:05"
"-24.0598140277778","21.2208946111111",1161.973,0.03,0.06,"2024:03:28 15:35:29"
"-24.0598023055556","21.2207735277778",1162.001,0.03,0.06,"2024:03:28 15:35:52"
"-24.0598967777778","21.2209438333333",1162.044,0.03,0.06,"2024:03:28 15:36:51"
"-24.0598897777778","21.22079025",1161.807,0.03,0.06,"2024:03:28 15:37:12"
"-24.0599830555556","21.2209883333333",1162.043,0.03,0.06,"2024:03:28 15:37:47"
"-24.0599722222222","21.2208281388889",1161.608,0.03,0.06,"2024:03:28 15:38:15"
"-24.0599785555556","21.2206763055556",1161.68,0.03,0.06,"2024:03:28 15:38:49"
