"latitude","longitude","altitude","xy_accuracy","z_accuracy","datetime_stamp"
"CRS","WGS84 EPSG::32735",NA,NA,NA,NA
"-24.0788127222222","21.2246181666667",1176.686,0.03,0.06,"2024:03:25 15:35:04"
"-24.0788410277778","21.2245556944444",1175.829,0.03,0.06,"2024:03:25 15:36:30"
"-24.0788864166667","21.2244526944444",1174.711,0.03,0.06,"2024:03:25 15:37:16"
"-24.0789359444444","21.2245304166667",1174.413,0.03,0.06,"2024:03:25 15:38:41"
"-24.0788990277778","21.2246003888889",1174.78,0.03,0.06,"2024:03:25 15:39:42"
"-24.0789514722222","21.2246709722222",1174.619,0.03,0.06,"2024:03:25 15:40:58"
"-24.0789983333333","21.22459925",1178.53,0.03,0.06,"2024:03:25 15:41:29"
"-24.0790422222222","21.2244900555556",1174.682,0.03,0.06,"2024:03:25 15:42:03"
"-24.0790834722222","21.2245671111111",1174.457,0.03,0.06,"2024:03:25 15:43:07"
"-24.0790241944444","21.2246584722222",1173.477,0.03,0.06,"2024:03:25 15:43:53"
"-24.0790683611111","21.2247330277778",1174.062,0.03,0.06,"2024:03:25 15:44:26"
"-24.0791211944444","21.2246704722222",1177.93,0.03,0.06,"2024:03:25 15:45:15"
"-24.0791824444444","21.2245486666667",1176.815,0.03,0.06,"2024:03:25 15:46:11"
